"TTYTKV","PHUONG_XA_MOI","TOTAL"
"TTYT KV Bình Thủy","Tân An",322
"TTYT KV Bình Thủy","Bình Thủy",311
"TTYT KV Bình Thủy","Ninh Kiều",238
"TTYT KV Bình Thủy","An Bình",212
"TTYT KV Bình Thủy","Thới An Đông",170
"TTYT KV Bình Thủy","Cái Khế",152
"TTYT KV Bình Thủy","Long Tuyền",124
"TTYT KV Châu Thành A","Thạnh Xuân",73
"TTYT KV Châu Thành A","Tân Hòa",42
"TTYT KV Châu Thành A","Trường Long Tây",11
"TTYT KV Châu Thành HG","Phú Hữu",96
"TTYT KV Châu Thành HG","Châu Thành",54
"TTYT KV Châu Thành HG","Đông Phước",21
"TTYT KV Châu Thành ST","An Ninh",78
"TTYT KV Châu Thành ST","Phú Tâm",41
"TTYT KV Châu Thành ST","Thuận Hòa",31
"TTYT KV Châu Thành ST","Hồ Đắc Kiện",20
"TTYT KV Cái Răng","Hưng Phú",122
"TTYT KV Cái Răng","Cái Răng",116
"TTYT KV Cái Răng","Nhơn Ái",111
"TTYT KV Cái Răng","Phong Điền",109
"TTYT KV Cái Răng","Trường Long",38
"TTYT KV Cù Lao Dung","Cù Lao Dung",60
"TTYT KV Cù Lao Dung","An Thạnh",48
"TTYT KV Kế Sách","Kế Sách",106
"TTYT KV Kế Sách","An Lạc Thôn",101
"TTYT KV Kế Sách","Thới An Hội",64
"TTYT KV Kế Sách","Nhơn Mỹ",50
"TTYT KV Kế Sách","Đại Hải",34
"TTYT KV Kế Sách","Phong Nẫm",10
"TTYT KV Long Mỹ","Long Bình",12
"TTYT KV Long Mỹ","Long Mỹ",11
"TTYT KV Long Mỹ","Lương Tâm",3
"TTYT KV Long Mỹ","Vĩnh Viễn",3
"TTYT KV Long Mỹ","Long Phú 1",2
"TTYT KV Long Mỹ","Xà Phiên",1
"TTYT KV Long Phú","Long Phú",79
"TTYT KV Long Phú","Trường Khánh",47
"TTYT KV Long Phú","Tân Thạnh",34
"TTYT KV Long Phú","Đại Ngãi",32
"TTYT KV Mỹ Tú","Mỹ Hương",52
"TTYT KV Mỹ Tú","Mỹ Tú",27
"TTYT KV Mỹ Tú","Long Hưng",12
"TTYT KV Mỹ Tú","Mỹ Phước",8
"TTYT KV Mỹ Xuyên","Ngọc Tố",75
"TTYT KV Mỹ Xuyên","Nhu Gia",44
"TTYT KV Mỹ Xuyên","Hòa Tú",15
"TTYT KV Mỹ Xuyên","Gia Hòa",10
"TTYT KV Ngã Năm","Ngã Năm",50
"TTYT KV Ngã Năm","Mỹ Quới",32
"TTYT KV Ngã Năm","Tân Long",22
"TTYT KV Phụng Hiệp","Thạnh Hòa",54
"TTYT KV Phụng Hiệp","Đại Thành",45
"TTYT KV Phụng Hiệp","Ngã Bảy",34
"TTYT KV Phụng Hiệp","Hiệp Hưng",33
"TTYT KV Phụng Hiệp","Phụng Hiệp",23
"TTYT KV Phụng Hiệp","Tân Phước Hưng",13
"TTYT KV Phụng Hiệp","Hòa An",10
"TTYT KV Phụng Hiệp","Tân Bình",9
"TTYT KV Phụng Hiệp","Phương Bình",8
"TTYT KV TP Sóc Trăng","Phú Lợi",127
"TTYT KV TP Sóc Trăng","Sóc Trăng",126
"TTYT KV TP Sóc Trăng","Mỹ Xuyên",55
"TTYT KV Thạnh Trị","Lâm Tân",22
"TTYT KV Thạnh Trị","Phú Lộc",22
"TTYT KV Thạnh Trị","Vĩnh Lợi",5
"TTYT KV Thốt Nốt","Thuận Hưng",71
"TTYT KV Thốt Nốt","Thốt Nốt",67
"TTYT KV Thốt Nốt","Trung Nhứt",33
"TTYT KV Thốt Nốt","Tân Lộc",31
"TTYT KV Thới Lai","Thới Lai",40
"TTYT KV Thới Lai","Trường Thành",38
"TTYT KV Thới Lai","Trung Hưng",37
"TTYT KV Thới Lai","Trường Xuân",33
"TTYT KV Thới Lai","Cờ Đỏ",32
"TTYT KV Thới Lai","Đông Thuận",25
"TTYT KV Thới Lai","Đông Hiệp",21
"TTYT KV Thới Lai","Thạnh Phú",19
"TTYT KV Thới Lai","Thới Hưng",13
"TTYT KV Trần Đề","Liêu Tú",130
"TTYT KV Trần Đề","Lịch Hội Thượng",115
"TTYT KV Trần Đề","Trần Đề",78
"TTYT KV Trần Đề","Tài Văn",47
"TTYT KV Trần Đề","Thạnh Thới An",31
"TTYT KV Vĩnh Châu","Vĩnh Châu",46
"TTYT KV Vĩnh Châu","Vĩnh Phước",24
"TTYT KV Vĩnh Châu","Khánh Hòa",21
"TTYT KV Vĩnh Châu","Vĩnh Hải",15
"TTYT KV Vĩnh Châu","Lai Hòa",10
"TTYT KV Vĩnh Thạnh","Vĩnh Thạnh",27
"TTYT KV Vĩnh Thạnh","Vĩnh Trinh",27
"TTYT KV Vĩnh Thạnh","Thạnh Quới",24
"TTYT KV Vĩnh Thạnh","Thạnh An",7
"TTYT KV Vị Thủy","Vị Thanh",23
"TTYT KV Vị Thủy","Vị Tân",23
"TTYT KV Vị Thủy","Vị Thủy",8
"TTYT KV Vị Thủy","Hỏa Lựu",6
"TTYT KV Vị Thủy","Vị Thanh 1",5
"TTYT KV Vị Thủy","Vĩnh Thuận Đông",4
"TTYT KV Vị Thủy","Vĩnh Tường",2
"TTYT KV Ô Môn","Phước Thới",95
"TTYT KV Ô Môn","Thới Long",89
"TTYT KV Ô Môn","Ô Môn",87
